hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month
Resort Hotel,0,3,2015,July,3
Resort Hotel,0,51,2015,July,3
Resort Hotel,1,71,2015,July,3
Resort Hotel,1,63,2015,July,3
Resort Hotel,1,62,2015,July,3
Resort Hotel,1,101,2015,July,3
Resort Hotel,0,2,2015,July,3
Resort Hotel,0,15,2015,July,3
Resort Hotel,1,51,2015,July,3
Resort Hotel,0,3,2015,July,3
Resort Hotel,1,48,2015,July,3
Resort Hotel,0,2,2015,July,3
Resort Hotel,0,72,2015,July,3
Resort Hotel,0,81,2015,July,3
Resort Hotel,0,99,2015,July,3
Resort Hotel,1,368,2015,July,3
Resort Hotel,0,364,2015,July,3
Resort Hotel,1,81,2015,July,3
Resort Hotel,0,99,2015,July,3
Resort Hotel,0,324,2015,July,3
Resort Hotel,0,69,2015,July,3
Resort Hotel,1,79,2015,July,3
Resort Hotel,0,12,2015,July,3
Resort Hotel,0,9,2015,July,3
Resort Hotel,0,1,2015,July,3
Resort Hotel,0,21,2015,July,3
Resort Hotel,0,9,2015,July,3
Resort Hotel,0,109,2015,July,3
Resort Hotel,1,109,2015,July,3
Resort Hotel,1,72,2015,July,3
Resort Hotel,1,63,2015,July,3
Resort Hotel,0,63,2015,July,3
Resort Hotel,0,101,2015,July,3
Resort Hotel,0,102,2015,July,3
Resort Hotel,0,4,2015,July,4
Resort Hotel,0,98,2015,July,4
Resort Hotel,0,92,2015,July,4
Resort Hotel,0,95,2015,July,4
Resort Hotel,0,102,2015,July,4
Resort Hotel,1,26,2015,July,4
Resort Hotel,1,73,2015,July,4
Resort Hotel,1,102,2015,July,4
Resort Hotel,0,115,2015,July,4
Resort Hotel,0,102,2015,July,4
Resort Hotel,0,86,2015,July,4
Resort Hotel,0,78,2015,July,4
Resort Hotel,0,52,2015,July,4
Resort Hotel,0,29,2015,July,4
Resort Hotel,1,101,2015,July,4
Resort Hotel,0,109,2015,July,4
Resort Hotel,0,92,2015,July,4
Resort Hotel,0,92,2015,July,4
Resort Hotel,0,79,2015,July,4
Resort Hotel,0,2,2015,July,4
Resort Hotel,0,30,2015,July,4
Resort Hotel,1,51,2015,July,4
Resort Hotel,1,36,2015,July,4
Resort Hotel,1,73,2015,July,4
Resort Hotel,1,33,2015,July,4
Resort Hotel,0,32,2015,July,4
Resort Hotel,0,8,2015,July,4
Resort Hotel,0,100,2015,July,4
Resort Hotel,0,1,2015,July,4
Resort Hotel,0,100,2015,July,4
Resort Hotel,0,100,2015,July,4
Resort Hotel,0,9,2015,July,5
Resort Hotel,1,5,2015,July,5
Resort Hotel,0,0,2015,July,5
Resort Hotel,0,9,2015,July,5
Resort Hotel,0,2,2015,July,5
Resort Hotel,0,2,2015,July,5
Resort Hotel,0,9,2015,July,5
Resort Hotel,1,5,2015,July,5
Resort Hotel,0,2,2015,July,5
Resort Hotel,0,44,2015,July,5
Resort Hotel,0,80,2015,July,5
Resort Hotel,0,97,2015,July,5
Resort Hotel,0,109,2015,July,5
Resort Hotel,0,30,2015,July,5
Resort Hotel,0,64,2015,July,5
Resort Hotel,0,39,2015,July,5
Resort Hotel,0,90,2015,July,5
Resort Hotel,1,34,2015,July,5
Resort Hotel,1,93,2015,July,5
Resort Hotel,0,97,2015,July,5
Resort Hotel,0,29,2015,July,5
Resort Hotel,1,101,2015,July,5
Resort Hotel,0,27,2015,July,5
Resort Hotel,0,8,2015,July,5
Resort Hotel,0,82,2015,July,5
Resort Hotel,0,94,2015,July,5
Resort Hotel,0,110,2015,July,5
Resort Hotel,0,96,2015,July,5
Resort Hotel,0,79,2015,July,5
Resort Hotel,0,115,2015,July,6
Resort Hotel,0,111,2015,July,6
Resort Hotel,0,51,2015,July,6
Resort Hotel,0,94,2015,July,6
Resort Hotel,0,81,2015,July,6
Resort Hotel,0,84,2015,July,6
Resort Hotel,0,51,2015,July,6
Resort Hotel,0,111,2015,July,6
Resort Hotel,0,0,2015,July,6
Resort Hotel,0,2,2015,July,6
Resort Hotel,0,7,2015,July,6
Resort Hotel,0,98,2015,July,6
Resort Hotel,0,95,2015,July,6
Resort Hotel,1,48,2015,July,6
Resort Hotel,0,66,2015,July,6
Resort Hotel,0,104,2015,July,6
Resort Hotel,0,28,2015,July,6
Resort Hotel,0,34,2015,July,6
Resort Hotel,0,98,2015,July,6
Resort Hotel,0,104,2015,July,6
Resort Hotel,0,68,2015,July,6
Resort Hotel,1,86,2015,July,6
Resort Hotel,0,258,2015,July,6
Resort Hotel,0,111,2015,July,6
Resort Hotel,1,94,2015,July,6
Resort Hotel,0,112,2015,July,6
Resort Hotel,0,100,2015,July,6
Resort Hotel,0,33,2015,July,6
Resort Hotel,0,97,2015,July,6
Resort Hotel,0,80,2015,July,6
Resort Hotel,0,90,2015,July,6
Resort Hotel,0,111,2015,July,6
Resort Hotel,0,65,2015,July,6
Resort Hotel,1,67,2015,July,7
Resort Hotel,0,55,2015,July,7
Resort Hotel,0,21,2015,July,7
Resort Hotel,0,8,2015,July,7
Resort Hotel,0,8,2015,July,7
Resort Hotel,0,0,2015,July,7
Resort Hotel,0,0,2015,July,7
Resort Hotel,0,0,2015,July,7
Resort Hotel,0,8,2015,July,7
Resort Hotel,0,66,2015,July,7
Resort Hotel,0,88,2015,July,7
Resort Hotel,0,0,2015,July,7
Resort Hotel,1,43,2015,July,7
Resort Hotel,1,88,2015,July,7
Resort Hotel,0,54,2015,July,7
Resort Hotel,1,292,2015,July,7
Resort Hotel,0,112,2015,July,7
Resort Hotel,0,68,2015,July,8
Resort Hotel,0,7,2015,July,8
Resort Hotel,0,1,2015,July,8
Resort Hotel,1,113,2015,July,8
Resort Hotel,0,5,2015,July,8
Resort Hotel,0,83,2015,July,8
Resort Hotel,1,105,2015,July,8
Resort Hotel,0,0,2015,July,8
Resort Hotel,1,1,2015,July,8
Resort Hotel,1,1,2015,July,8
Resort Hotel,0,1,2015,July,8
Resort Hotel,1,102,2015,July,8
Resort Hotel,0,113,2015,July,8
Resort Hotel,1,280,2015,July,8
Resort Hotel,0,96,2015,July,8
Resort Hotel,0,394,2015,July,8
Resort Hotel,0,33,2015,July,8
Resort Hotel,0,82,2015,July,8
Resort Hotel,0,100,2015,July,8
Resort Hotel,0,100,2015,July,8
Resort Hotel,0,17,2015,July,9
Resort Hotel,0,68,2015,July,9
Resort Hotel,0,12,2015,July,9
Resort Hotel,1,77,2015,July,9
Resort Hotel,1,24,2015,July,9
Resort Hotel,1,44,2015,July,9
Resort Hotel,0,78,2015,July,9
Resort Hotel,1,17,2015,July,9
Resort Hotel,1,103,2015,July,9
Resort Hotel,0,16,2015,July,9
Resort Hotel,0,14,2015,July,9
Resort Hotel,0,77,2015,July,9
Resort Hotel,0,90,2015,July,9
Resort Hotel,0,90,2015,July,9
Resort Hotel,0,90,2015,July,9
Resort Hotel,0,366,2015,July,9
Resort Hotel,0,249,2015,July,9
Resort Hotel,1,69,2015,July,9
Resort Hotel,0,10,2015,July,10
Resort Hotel,0,22,2015,July,10
Resort Hotel,0,91,2015,July,10
Resort Hotel,0,23,2015,July,10
Resort Hotel,0,11,2015,July,10
Resort Hotel,0,3,2015,July,10
Resort Hotel,0,13,2015,July,10
Resort Hotel,0,108,2015,July,10
Resort Hotel,0,91,2015,July,10
Resort Hotel,0,37,2015,July,10
Resort Hotel,0,21,2015,July,10
Resort Hotel,0,106,2015,July,10
Resort Hotel,0,30,2015,July,10
Resort Hotel,0,30,2015,July,10
Resort Hotel,1,51,2015,July,10
Resort Hotel,0,79,2015,July,10
Resort Hotel,0,21,2015,July,10
Resort Hotel,0,35,2015,July,10
Resort Hotel,0,78,2015,July,10
Resort Hotel,0,31,2015,July,10
Resort Hotel,0,78,2015,July,10
Resort Hotel,0,78,2015,July,10
Resort Hotel,0,44,2015,July,10
Resort Hotel,0,34,2015,July,10
Resort Hotel,0,87,2015,July,10
Resort Hotel,0,11,2015,July,10
Resort Hotel,0,115,2015,July,10
Resort Hotel,0,86,2015,July,10
Resort Hotel,0,41,2015,July,10
Resort Hotel,0,32,2015,July,10
Resort Hotel,0,34,2015,July,10
Resort Hotel,0,34,2015,July,10
Resort Hotel,1,100,2015,July,11
Resort Hotel,0,44,2015,July,11
Resort Hotel,0,304,2015,July,11
Resort Hotel,1,36,2015,July,11
Resort Hotel,0,117,2015,July,11
Resort Hotel,0,70,2015,July,11
Resort Hotel,0,110,2015,July,11
Resort Hotel,1,109,2015,July,11
Resort Hotel,0,33,2015,July,11
Resort Hotel,0,33,2015,July,11
Resort Hotel,0,33,2015,July,11
Resort Hotel,0,0,2015,July,11
Resort Hotel,0,0,2015,July,11
Resort Hotel,0,0,2015,July,11
Resort Hotel,0,0,2015,July,11
Resort Hotel,0,84,2015,July,11
Resort Hotel,0,71,2015,July,11
Resort Hotel,0,16,2015,July,11
Resort Hotel,0,54,2015,July,11
Resort Hotel,0,8,2015,July,11
Resort Hotel,0,36,2015,July,11
Resort Hotel,0,40,2015,July,11
Resort Hotel,1,59,2015,July,11
Resort Hotel,0,79,2015,July,11
Resort Hotel,0,32,2015,July,11
Resort Hotel,0,110,2015,July,11
Resort Hotel,0,33,2015,July,11
Resort Hotel,0,53,2015,July,12
Resort Hotel,0,2,2015,July,12
Resort Hotel,0,8,2015,July,12
Resort Hotel,1,72,2015,July,12
Resort Hotel,0,12,2015,July,12
Resort Hotel,0,48,2015,July,12
Resort Hotel,0,90,2015,July,12
Resort Hotel,0,34,2015,July,12
Resort Hotel,1,58,2015,July,12
Resort Hotel,0,59,2015,July,12
Resort Hotel,0,90,2015,July,12
Resort Hotel,0,116,2015,July,12
Resort Hotel,0,31,2015,July,12
Resort Hotel,1,51,2015,July,12
Resort Hotel,0,48,2015,July,12
Resort Hotel,0,59,2015,July,12
Resort Hotel,1,97,2015,July,12
Resort Hotel,0,12,2015,July,12
Resort Hotel,0,64,2015,July,12
Resort Hotel,0,31,2015,July,12
Resort Hotel,0,59,2015,July,12
Resort Hotel,1,55,2015,July,12
Resort Hotel,0,81,2015,July,12
Resort Hotel,0,1,2015,July,12
Resort Hotel,0,34,2015,July,12
Resort Hotel,0,13,2015,July,12
Resort Hotel,0,40,2015,July,12
Resort Hotel,0,1,2015,July,12
Resort Hotel,0,34,2015,July,12
Resort Hotel,0,88,2015,July,12
Resort Hotel,0,9,2015,July,12
Resort Hotel,1,24,2015,July,12
Resort Hotel,0,97,2015,July,12
Resort Hotel,0,60,2015,July,12
Resort Hotel,0,100,2015,July,12
Resort Hotel,0,50,2015,July,12
Resort Hotel,1,47,2015,July,12
Resort Hotel,0,8,2015,July,12
Resort Hotel,0,34,2015,July,12
Resort Hotel,0,47,2015,July,13
Resort Hotel,0,115,2015,July,13
Resort Hotel,1,79,2015,July,13
Resort Hotel,0,91,2015,July,13
Resort Hotel,0,98,2015,July,13
Resort Hotel,0,109,2015,July,13
Resort Hotel,0,0,2015,July,13
Resort Hotel,0,98,2015,July,13
Resort Hotel,0,0,2015,July,13
Resort Hotel,0,9,2015,July,13
Resort Hotel,0,62,2015,July,13
Resort Hotel,1,45,2015,July,13
Resort Hotel,0,42,2015,July,13
Resort Hotel,0,54,2015,July,13
Resort Hotel,0,51,2015,July,13
Resort Hotel,0,54,2015,July,13
Resort Hotel,0,58,2015,July,13
Resort Hotel,0,0,2015,July,13
Resort Hotel,1,60,2015,July,13
Resort Hotel,1,321,2015,July,13
Resort Hotel,0,40,2015,July,13
Resort Hotel,1,51,2015,July,13
Resort Hotel,0,38,2015,July,13
Resort Hotel,1,75,2015,July,13
Resort Hotel,0,101,2015,July,13
Resort Hotel,1,42,2015,July,13
Resort Hotel,0,40,2015,July,13
Resort Hotel,0,109,2015,July,13
Resort Hotel,1,81,2015,July,13
Resort Hotel,1,98,2015,July,13
Resort Hotel,0,32,2015,July,13
Resort Hotel,0,72,2015,July,13
Resort Hotel,0,115,2015,July,13
Resort Hotel,0,118,2015,July,13
Resort Hotel,0,81,2015,July,13
Resort Hotel,1,95,2015,July,13
Resort Hotel,0,16,2015,July,13
Resort Hotel,0,56,2015,July,13
Resort Hotel,0,88,2015,July,13
Resort Hotel,0,41,2015,July,13
Resort Hotel,1,40,2015,July,14
Resort Hotel,0,1,2015,July,14
Resort Hotel,0,1,2015,July,14
Resort Hotel,0,1,2015,July,14
Resort Hotel,1,76,2015,July,14
Resort Hotel,0,0,2015,July,14
Resort Hotel,0,49,2015,July,14
Resort Hotel,0,76,2015,July,14
Resort Hotel,0,73,2015,July,14
Resort Hotel,0,73,2015,July,14
Resort Hotel,0,317,2015,July,14
Resort Hotel,1,112,2015,July,14
Resort Hotel,0,6,2015,July,14
Resort Hotel,0,8,2015,July,14
Resort Hotel,1,96,2015,July,14
Resort Hotel,1,96,2015,July,14
Resort Hotel,0,99,2015,July,14
Resort Hotel,0,66,2015,July,14
Resort Hotel,0,38,2015,July,14
Resort Hotel,0,38,2015,July,14
Resort Hotel,0,113,2015,July,14
Resort Hotel,0,0,2015,July,14
Resort Hotel,1,62,2015,July,15
Resort Hotel,1,39,2015,July,15
Resort Hotel,0,37,2015,July,15
Resort Hotel,1,58,2015,July,15
Resort Hotel,0,37,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,83,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,1,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,0,57,2015,July,15
Resort Hotel,1,66,2015,July,16
Resort Hotel,0,13,2015,July,16
Resort Hotel,0,50,2015,July,16
Resort Hotel,1,48,2015,July,16
Resort Hotel,1,0,2015,July,16
Resort Hotel,0,7,2015,July,16
Resort Hotel,0,0,2015,July,16
Resort Hotel,1,66,2015,July,16
Resort Hotel,0,13,2015,July,16
Resort Hotel,0,66,2015,July,16
Resort Hotel,0,10,2015,July,16
Resort Hotel,1,10,2015,July,16
Resort Hotel,1,58,2015,July,16
Resort Hotel,1,17,2015,July,16
Resort Hotel,0,19,2015,July,16
Resort Hotel,0,10,2015,July,16
Resort Hotel,1,12,2015,July,16
Resort Hotel,0,10,2015,July,16
Resort Hotel,0,63,2015,July,16
Resort Hotel,1,35,2015,July,16
Resort Hotel,0,113,2015,July,16
Resort Hotel,1,35,2015,July,16
Resort Hotel,0,68,2015,July,16
Resort Hotel,0,113,2015,July,16
Resort Hotel,0,21,2015,July,16
Resort Hotel,0,6,2015,July,17
Resort Hotel,0,7,2015,July,17
Resort Hotel,0,17,2015,July,17
Resort Hotel,0,1,2015,July,17
Resort Hotel,0,2,2015,July,17
Resort Hotel,1,15,2015,July,17
Resort Hotel,1,7,2015,July,17
Resort Hotel,0,11,2015,July,17
Resort Hotel,1,6,2015,July,17
Resort Hotel,0,1,2015,July,17
Resort Hotel,0,1,2015,July,17
Resort Hotel,0,48,2015,July,17
Resort Hotel,0,15,2015,July,17
Resort Hotel,1,3,2015,July,17
Resort Hotel,1,23,2015,July,17
Resort Hotel,0,53,2015,July,17
Resort Hotel,0,53,2015,July,17
Resort Hotel,0,94,2015,July,17
Resort Hotel,0,64,2015,July,17
Resort Hotel,0,53,2015,July,17
Resort Hotel,0,53,2015,July,17
Resort Hotel,0,64,2015,July,17
Resort Hotel,0,53,2015,July,17
Resort Hotel,0,24,2015,July,17
Resort Hotel,0,24,2015,July,17
Resort Hotel,0,23,2015,July,17
Resort Hotel,0,53,2015,July,17
Resort Hotel,1,23,2015,July,17
Resort Hotel,0,90,2015,July,17
Resort Hotel,0,79,2015,July,17
Resort Hotel,0,43,2015,July,17
Resort Hotel,0,90,2015,July,17
Resort Hotel,0,65,2015,July,17
Resort Hotel,0,65,2015,July,17
Resort Hotel,0,99,2015,July,17
Resort Hotel,0,25,2015,July,17
Resort Hotel,0,92,2015,July,17
Resort Hotel,0,91,2015,July,17
Resort Hotel,0,38,2015,July,17
Resort Hotel,0,6,2015,July,17
Resort Hotel,0,38,2015,July,17
Resort Hotel,0,13,2015,July,17
Resort Hotel,1,32,2015,July,17
Resort Hotel,0,315,2015,July,17
Resort Hotel,0,8,2015,July,17
Resort Hotel,1,0,2015,July,17
Resort Hotel,0,91,2015,July,17
Resort Hotel,0,3,2015,July,17
Resort Hotel,0,9,2015,July,17
Resort Hotel,0,19,2015,July,18
Resort Hotel,0,25,2015,July,18
Resort Hotel,0,108,2015,July,18
Resort Hotel,1,37,2015,July,18
Resort Hotel,0,45,2015,July,18
Resort Hotel,0,64,2015,July,18
Resort Hotel,0,44,2015,July,18
Resort Hotel,0,26,2015,July,18
Resort Hotel,1,96,2015,July,18
Resort Hotel,1,123,2015,July,18
Resort Hotel,1,42,2015,July,18
Resort Hotel,0,59,2015,July,18
Resort Hotel,0,28,2015,July,18
Resort Hotel,0,106,2015,July,18
Resort Hotel,0,1,2015,July,18
Resort Hotel,0,0,2015,July,18
Resort Hotel,0,4,2015,July,18
Resort Hotel,0,3,2015,July,18
Resort Hotel,0,73,2015,July,18
Resort Hotel,0,44,2015,July,18
Resort Hotel,0,95,2015,July,18
Resort Hotel,0,94,2015,July,18
Resort Hotel,1,40,2015,July,18
Resort Hotel,0,64,2015,July,18
Resort Hotel,0,64,2015,July,18
Resort Hotel,0,94,2015,July,18
Resort Hotel,0,57,2015,July,18
Resort Hotel,1,60,2015,July,18
Resort Hotel,0,57,2015,July,18
Resort Hotel,0,87,2015,July,18
Resort Hotel,0,0,2015,July,19
Resort Hotel,0,0,2015,July,19
Resort Hotel,0,6,2015,July,19
Resort Hotel,0,0,2015,July,19
Resort Hotel,0,19,2015,July,19
Resort Hotel,0,4,2015,July,19
Resort Hotel,1,59,2015,July,19
Resort Hotel,0,44,2015,July,19
Resort Hotel,1,37,2015,July,19
Resort Hotel,0,66,2015,July,19
Resort Hotel,1,38,2015,July,19
Resort Hotel,1,62,2015,July,19
Resort Hotel,0,41,2015,July,19
Resort Hotel,1,60,2015,July,19
Resort Hotel,0,104,2015,July,19
Resort Hotel,1,62,2015,July,19
Resort Hotel,0,117,2015,July,19
Resort Hotel,1,31,2015,July,19
Resort Hotel,0,34,2015,July,19
Resort Hotel,0,47,2015,July,19
Resort Hotel,1,24,2015,July,19
Resort Hotel,1,104,2015,July,19
Resort Hotel,0,104,2015,July,19
Resort Hotel,0,32,2015,July,19
Resort Hotel,1,47,2015,July,19
Resort Hotel,0,29,2015,July,19
Resort Hotel,0,30,2015,July,19
Resort Hotel,0,123,2015,July,19
Resort Hotel,0,14,2015,July,20
Resort Hotel,1,118,2015,July,20
Resort Hotel,0,0,2015,July,20
Resort Hotel,0,0,2015,July,20
Resort Hotel,0,79,2015,July,20
Resort Hotel,0,63,2015,July,20
Resort Hotel,0,68,2015,July,20
Resort Hotel,0,96,2015,July,20
Resort Hotel,1,41,2015,July,20
Resort Hotel,0,46,2015,July,20
Resort Hotel,1,41,2015,July,20
Resort Hotel,1,60,2015,July,20
Resort Hotel,0,41,2015,July,20
Resort Hotel,1,69,2015,July,20
Resort Hotel,1,41,2015,July,20
Resort Hotel,0,52,2015,July,20
Resort Hotel,1,41,2015,July,20
Resort Hotel,0,89,2015,July,20
Resort Hotel,1,28,2015,July,20
Resort Hotel,0,65,2015,July,20
Resort Hotel,0,82,2015,July,20
Resort Hotel,0,42,2015,July,20
Resort Hotel,0,62,2015,July,20
Resort Hotel,1,86,2015,July,20
Resort Hotel,1,118,2015,July,20
Resort Hotel,0,28,2015,July,20
Resort Hotel,1,52,2015,July,20
Resort Hotel,1,49,2015,July,20
Resort Hotel,0,39,2015,July,20
Resort Hotel,0,39,2015,July,20
Resort Hotel,0,39,2015,July,20
Resort Hotel,1,7,2015,July,20
Resort Hotel,1,7,2015,July,20
Resort Hotel,1,42,2015,July,21
Resort Hotel,0,5,2015,July,21
Resort Hotel,1,81,2015,July,21
Resort Hotel,1,63,2015,July,21
Resort Hotel,0,61,2015,July,21
Resort Hotel,0,8,2015,July,21
Resort Hotel,0,89,2015,July,21
Resort Hotel,0,57,2015,July,21
Resort Hotel,0,102,2015,July,21
Resort Hotel,0,108,2015,July,21
Resort Hotel,0,28,2015,July,21
Resort Hotel,0,29,2015,July,21
Resort Hotel,0,0,2015,July,22
Resort Hotel,1,96,2015,July,22
Resort Hotel,1,44,2015,July,22
Resort Hotel,0,44,2015,July,22
Resort Hotel,1,44,2015,July,22
Resort Hotel,1,44,2015,July,22
Resort Hotel,1,41,2015,July,22
Resort Hotel,0,16,2015,July,23
Resort Hotel,0,73,2015,July,23
Resort Hotel,0,3,2015,July,23
Resort Hotel,0,0,2015,July,23
Resort Hotel,1,55,2015,July,23
Resort Hotel,0,33,2015,July,23
Resort Hotel,1,19,2015,July,23
Resort Hotel,1,55,2015,July,23
Resort Hotel,0,33,2015,July,23
Resort Hotel,1,19,2015,July,23
Resort Hotel,1,19,2015,July,23
Resort Hotel,0,117,2015,July,23
Resort Hotel,1,72,2015,July,23
Resort Hotel,1,19,2015,July,23
Resort Hotel,0,34,2015,July,23
Resort Hotel,0,9,2015,July,24
Resort Hotel,0,8,2015,July,24
Resort Hotel,1,36,2015,July,24
Resort Hotel,0,22,2015,July,24
Resort Hotel,0,22,2015,July,24
Resort Hotel,0,22,2015,July,24
Resort Hotel,0,36,2015,July,24
Resort Hotel,0,22,2015,July,24
Resort Hotel,1,22,2015,July,24
Resort Hotel,0,18,2015,July,24
Resort Hotel,0,8,2015,July,24
Resort Hotel,1,67,2015,July,24
Resort Hotel,1,105,2015,July,24
Resort Hotel,0,1,2015,July,24
Resort Hotel,1,67,2015,July,24
Resort Hotel,0,39,2015,July,24
Resort Hotel,1,45,2015,July,24
Resort Hotel,1,45,2015,July,24
Resort Hotel,0,14,2015,July,24
Resort Hotel,1,53,2015,July,24
Resort Hotel,0,28,2015,July,24
Resort Hotel,0,55,2015,July,24
Resort Hotel,0,55,2015,July,24
Resort Hotel,0,25,2015,July,24
Resort Hotel,1,43,2015,July,24
Resort Hotel,1,109,2015,July,24
Resort Hotel,1,62,2015,July,24
Resort Hotel,0,25,2015,July,24
Resort Hotel,0,43,2015,July,24
Resort Hotel,0,35,2015,July,24
Resort Hotel,1,42,2015,July,24
Resort Hotel,1,312,2015,July,24
Resort Hotel,0,30,2015,July,25
Resort Hotel,0,47,2015,July,25
Resort Hotel,0,40,2015,July,25
Resort Hotel,0,11,2015,July,25
Resort Hotel,0,39,2015,July,25
Resort Hotel,1,39,2015,July,25
Resort Hotel,0,1,2015,July,25
Resort Hotel,1,12,2015,July,25
Resort Hotel,1,16,2015,July,25
Resort Hotel,1,16,2015,July,25
Resort Hotel,0,12,2015,July,25
Resort Hotel,0,51,2015,July,25
Resort Hotel,0,67,2015,July,25
Resort Hotel,0,52,2015,July,25
Resort Hotel,0,25,2015,July,25
Resort Hotel,0,94,2015,July,25
Resort Hotel,1,54,2015,July,25
Resort Hotel,0,33,2015,July,25
Resort Hotel,0,47,2015,July,25
Resort Hotel,0,43,2015,July,25
Resort Hotel,1,87,2015,July,25
Resort Hotel,0,54,2015,July,25
Resort Hotel,0,32,2015,July,25
Resort Hotel,1,29,2015,July,25
Resort Hotel,1,96,2015,July,25
Resort Hotel,1,100,2015,July,25
Resort Hotel,0,54,2015,July,25
Resort Hotel,0,75,2015,July,25
Resort Hotel,0,31,2015,July,25
Resort Hotel,1,25,2015,July,25
Resort Hotel,0,61,2015,July,25
Resort Hotel,0,60,2015,July,25
Resort Hotel,1,31,2015,July,25
Resort Hotel,1,107,2015,July,25
Resort Hotel,1,31,2015,July,25
Resort Hotel,0,115,2015,July,25
Resort Hotel,0,59,2015,July,25
Resort Hotel,1,85,2015,July,25
Resort Hotel,0,0,2015,July,25
Resort Hotel,1,299,2015,July,25
Resort Hotel,0,50,2015,July,25
Resort Hotel,1,50,2015,July,25
Resort Hotel,1,88,2015,July,26
Resort Hotel,1,116,2015,July,26
Resort Hotel,0,47,2015,July,26
Resort Hotel,0,48,2015,July,26
Resort Hotel,1,54,2015,July,26
Resort Hotel,1,33,2015,July,26
Resort Hotel,0,73,2015,July,26
Resort Hotel,1,54,2015,July,26
Resort Hotel,1,33,2015,July,26
Resort Hotel,0,38,2015,July,26
Resort Hotel,0,34,2015,July,26
Resort Hotel,0,130,2015,July,26
Resort Hotel,1,39,2015,July,26
Resort Hotel,1,39,2015,July,26
Resort Hotel,0,45,2015,July,26
Resort Hotel,0,31,2015,July,27
Resort Hotel,1,48,2015,July,27
Resort Hotel,0,59,2015,July,27
Resort Hotel,1,48,2015,July,27
Resort Hotel,1,48,2015,July,27
Resort Hotel,1,48,2015,July,27
Resort Hotel,0,48,2015,July,27
Resort Hotel,0,96,2015,July,27
Resort Hotel,0,51,2015,July,27
Resort Hotel,0,96,2015,July,27
