order_id,customer_id,region,category,sales,profit,order_date,ship_mode,shipping_fee,return_reason
O-064,C-064,Central,Technology,1160.0,176.0,2025-03-21,Express,58.0,
O-065,C-065,West,Furniture,630.0,89.0,2025-03-22,Standard,35.0,
O-066,C-066,South,Technology,980.0,148.0,2025-03-23,Second Class,41.0,
O-067,C-067,Central,Office Supplies,320.0,40.0,2025-03-24,Standard,29.0,
O-068,C-068,East,Furniture,540.0,74.0,2025-03-25,Express,60.0,Wrong category delivered
O-069,C-069,West,Technology,1270.0,192.0,2025-03-26,Second Class,42.0,
O-070,C-070,Central,Office Supplies,280.0,35.0,2025-03-27,Standard,33.0,
O-071,C-071,South,Furniture,850.0,122.0,2025-03-28,Express,65.0,
O-072,C-072,East,Technology,1190.0,178.0,2025-03-29,Standard,30.0,
O-073,C-073,West,Office Supplies,260.0,33.0,2025-03-30,Second Class,39.0,Customer canceled after shipping
O-074,C-074,Central,Furniture,710.0,105.0,2025-03-31,Standard,28.0,
O-075,C-075,South,Technology,950.0,145.0,2025-04-01,Express,62.0,
O-076,C-076,East,Office Supplies,240.0,29.0,2025-04-02,Standard,35.0,
O-077,C-077,West,Furniture,780.0,112.0,2025-04-03,Second Class,43.0,
O-078,C-078,Central,Technology,1110.0,166.0,2025-04-04,Standard,31.0,Arrived too late
O-079,C-079,South,Furniture,640.0,90.0,2025-04-05,Express,64.0,
O-080,C-080,East,Technology,1240.0,186.0,2025-04-06,Standard,34.0,
O-081,C-081,West,Office Supplies,300.0,40.0,2025-04-07,Second Class,40.0,
O-082,C-082,Central,Furniture,670.0,96.0,2025-04-08,Standard,27.0,
O-083,C-083,South,Technology,910.0,134.0,2025-04-09,Express,60.0,Faulty components
O-084,C-084,East,Office Supplies,290.0,38.0,2025-04-10,Standard,32.0,
O-085,C-085,Central,Technology,1310.0,195.0,2025-04-11,Second Class,38.0,
O-086,C-086,South,Furniture,890.0,127.0,2025-04-12,Standard,35.0,
O-087,C-087,West,Technology,970.0,144.0,2025-04-13,Express,65.0,
O-088,C-088,Central,Office Supplies,340.0,43.0,2025-04-14,Standard,33.0,Size discrepancy
O-089,C-089,East,Furniture,750.0,112.0,2025-04-15,Second Class,42.0,
O-090,C-090,West,Technology,1080.0,162.0,2025-04-16,Standard,30.0,Product damaged during handling
O-091,C-091,Central,Office Supplies,210.0,27.0,2025-04-17,Express,61.0,
O-092,C-092,South,Technology,1160.0,173.0,2025-04-18,Standard,29.0,
O-093,C-093,East,Furniture,590.0,84.0,2025-04-19,Second Class,39.0,
O-094,C-094,West,Office Supplies,260.0,33.0,2025-04-20,Standard,32.0,Incorrect quantity
O-095,C-095,Central,Technology,940.0,139.0,2025-04-21,Express,62.0,
O-096,C-096,South,Furniture,860.0,120.0,2025-04-22,Standard,34.0,
O-097,C-097,East,Technology,1210.0,181.0,2025-04-23,Second Class,37.0,Expired item
O-098,C-098,West,Office Supplies,310.0,40.0,2025-04-24,Standard,31.0,
O-099,C-099,Central,Furniture,680.0,95.0,2025-04-25,Express,63.0,Defective batch
O-100,C-100,South,Technology,990.0,148.0,2025-04-26,Standard,30.0,Customer return for refund
